country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year,period,continent
Bermuda,135.8,108.2,123.5,143.4,147.5,101.3,2026,year,North America
Cayman Islands,115.6,76.1,97.9,124.0,101.5,149.6,2026,year,North America
US Virgin Islands,111.3,46.8,82.5,127.4,94.8,89.8,2026,year,North America
Switzerland,110.7,51.5,84.3,109.7,111.3,170.6,2026,year,Europe
Solomon Islands,102.3,19.5,65.4,64.8,46.0,12.6,2026,year,Oceania
Bahamas,98.8,50.2,77.1,100.9,109.0,57.1,2026,year,North America
Iceland,97.2,49.5,75.9,104.5,104.9,113.7,2026,year,Europe
Jersey,88.7,52.4,72.5,79.0,102.3,103.4,2026,year,Europe
Singapore,87.7,73.1,81.2,77.3,55.5,105.5,2026,year,Asia
Norway,83.7,29.2,59.4,85.4,88.6,124.7,2026,year,Europe
Israel,79.7,31.2,58.0,74.0,89.9,119.6,2026,year,Asia
Denmark,78.9,28.9,56.6,72.7,93.7,146.6,2026,year,Europe
Luxembourg,78.0,49.3,65.2,77.7,83.3,160.5,2026,year,Europe
Grenada,76.4,15.8,49.4,68.9,53.5,34.6,2026,year,North America
Hong Kong,75.2,63.1,69.8,75.1,51.1,91.6,2026,year,Asia
Isle Of Man,74.7,32.0,55.7,65.3,91.8,116.6,2026,year,Europe
Guernsey,73.4,55.3,65.3,77.9,71.2,132.8,2026,year,Europe
Netherlands,73.4,38.7,57.9,66.9,81.6,131.9,2026,year,Europe
Austria,71.3,25.1,50.7,72.6,71.5,120.0,2026,year,Europe
Ireland,70.6,43.8,58.7,68.8,76.6,114.4,2026,year,Europe
Gibraltar,70.3,56.0,63.9,60.8,78.7,86.1,2026,year,Europe
Finland,69.0,21.9,48.0,68.7,74.1,129.4,2026,year,Europe
United States,68.8,40.7,56.3,74.0,72.8,146.0,2026,year,North America
Germany,68.7,24.6,49.0,64.9,66.9,138.3,2026,year,Europe
Belgium,68.6,23.8,48.6,66.4,80.7,124.2,2026,year,Europe
Sweden,68.0,22.6,47.8,68.4,70.8,133.5,2026,year,Europe
Australia,67.9,33.7,52.7,76.5,65.6,137.3,2026,year,Oceania
United Kingdom,67.8,32.1,51.9,62.8,72.9,122.6,2026,year,Europe
France,67.7,22.3,47.5,73.2,66.2,118.5,2026,year,Europe
Seychelles,64.5,27.6,48.0,74.8,66.2,34.3,2026,year,Africa
Canada,63.0,31.5,48.9,69.6,64.1,119.4,2026,year,North America
Puerto Rico,62.6,21.7,44.3,67.3,56.4,115.9,2026,year,North America
South Korea,61.6,16.1,41.3,77.5,35.8,111.5,2026,year,Asia
Italy,61.4,20.5,43.1,62.7,64.7,89.2,2026,year,Europe
Macao,60.5,28.5,46.3,67.5,44.3,85.4,2026,year,Asia
New Zealand,60.3,26.2,45.0,65.4,59.3,123.8,2026,year,Oceania
Estonia,59.7,16.7,40.5,54.1,64.9,88.3,2026,year,Europe
Cyprus,58.8,26.9,44.6,54.5,60.9,87.7,2026,year,Europe
Malta,56.8,28.2,44.1,55.9,64.1,81.1,2026,year,Europe
Uruguay,55.6,14.7,37.3,55.1,59.6,55.1,2026,year,South America
United Arab Emirates,55.2,39.6,48.2,44.4,56.5,126.4,2026,year,Asia
Andorra,55.1,32.8,45.2,51.4,56.1,126.1,2026,year,Europe
Jamaica,54.5,19.2,38.7,63.5,46.8,35.4,2026,year,North America
Slovenia,54.1,20.6,39.1,52.4,51.3,87.5,2026,year,Europe
Greece,54.0,13.7,36.0,51.0,59.2,64.1,2026,year,Europe
Yemen,53.1,5.9,32.0,64.7,38.2,18.2,2026,year,Asia
Czech Republic,53.0,20.7,38.6,50.5,43.1,91.4,2026,year,Europe
Costa Rica,52.9,20.3,38.3,59.2,47.5,49.5,2026,year,North America
Croatia,52.4,18.0,37.1,48.9,55.3,86.5,2026,year,Europe
Latvia,52.3,11.9,34.3,47.5,54.6,77.7,2026,year,Europe
Trinidad And Tobago,52.0,14.4,35.2,55.3,47.4,48.6,2026,year,North America
Spain,51.6,23.2,39.0,50.6,55.1,104.4,2026,year,Europe
Lithuania,51.2,15.6,35.3,46.3,56.3,87.6,2026,year,Europe
